param num_hospital 		:= 6;				# number of hospital (N)
param num_group_patient	:= 2;				# number of group patient (G)
param num_bed_type 		:= 2;				# number of bed type (B)
param num_time_period	:= 30;				# number of time periode (T)

param patients_admitted	:=					# total patient (p_git)
[1,*,*]:	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
		1	7	0	1	0	3	9	0	1	2	0	0	3	2	2	2	2	0	9	2	0	5	0	0	5	0	0	0	0	0	0	0
		2	16	1	0	0	2	2	1	2	4	1	0	1	0	0	0	2	0	1	1	3	1	0	1	0	0	1	1	1	1	0	0
		3	2	0	0	0	1	3	0	1	1	1	0	5	4	0	2	1	0	0	0	0	1	0	1	0	1	0	0	2	0	0	1
		4	6	0	1	1	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		5	2	5	1	0	3	2	2	2	0	1	0	1	2	0	0	0	1	0	0	3	0	0	0	1	0	1	0	1	0	0	0
		6	8	2	4	0	6	2	0	13	2	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
		

[2,*,*]: 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
		1	5	0	0	1	1	7	0	1	1	0	1	1	1	2	2	0	0	7	1	0	3	0	1	3	0	0	0	0	0	0	0
		2	10	1	0	1	0	2	0	2	2	2	0	0	1	0	0	1	0	1	0	3	0	0	1	0	0	0	0	2	0	0	0
		3	2	0	0	0	0	2	0	1	1	0	1	3	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
		4	4	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
		5	2	3	1	0	1	1	2	2	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0
		6	5	1	4	0	4	1	0	9	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0 ;

param total_bed:
	1	2	3 	4 	5 	6:=
1	28	26	21	22	20	24
2	20	19	18	17	17	18 ;


param length_stay_patients :=	1	10
								2	14 ;

param patients_discharged :=					# patients who were discharged (d_git)
[1,*,*]:	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	1	6	1	0
		2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0	0	6	0	0	1	0	0	0	0	8	0
		3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	7	0	0	0	0	2	0	3	0	0
		4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
		5	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	11	0	2	0	0	0	0	0	0
		6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	16	0	0	0	0	12	0	0	0	7	0	0	0	3	0	0	0

[2,*,*]: 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
		1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	4	0	0
		2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	5	0
